Deal ID,Company ID,Company Name,Description,Investor ID,Investor Name,Investor Status,Primary Investor Type,Preferred Industries,Investor HQ,Lead Partner,Lead/Sole,Deal No.,"Total Deal Size (million, USD)",Deal Size Status,Deal Type 1,Deal Class,Company City,Company Post Code,Company Country/Territory,Deal Status,Primary Industry Sector,Primary Industry Group,Primary Industry Code,Verticals,All Industries,Business Status,Financing Status
284538-79T,512435-89,Anybuddy,"Developer of a sports application intended to find players and pitches for football or tennis matches. The company's platform facilitates access to clubs, reserve and payment options, and booking without license and subscription at the best prices, enabling users to access various tennis courts and multiple play surfaces and pay reservations directly on the application.",752815-18,Martin Jaglin,Active Investor,Angel (individual),,,Martin Jaglin,No,4.0,2.07,Actual,Later Stage VC,Venture Capital,La Madelaine,59110.0,France,Completed,Consumer Products and Services (B2C),"Restaurants, Hotels and Leisure","Other Restaurants, Hotels and Leisure",Mobile,"Other Restaurants, Hotels and Leisure*; Information Services (B2C); Application Software",Generating Revenue,Venture Capital-Backed
284336-56T,492676-39,Reev (Therapeutic Devices),"Developer of a robotic orthosis device designed to diminish muscle fatigue, facilitate daily trips and improve life quality. The company's device is lightweight and personalized for the patients which helps gain muscle strength by performing resistive exercises, enabling patients to walk longer, stand up, sit down and take stairs with ease.",742362-13,Herve Silbert,Active Investor,Angel (individual),,,Herve Silbert,No,6.0,9.2,Actual,Early Stage VC,Venture Capital,Toulouse,31400.0,France,Completed,Healthcare,Healthcare Devices and Supplies,Therapeutic Devices,HealthTech,Therapeutic Devices*; Other Devices and Supplies,Generating Revenue,Venture Capital-Backed
284336-56T,492676-39,Reev (Therapeutic Devices),"Developer of a robotic orthosis device designed to diminish muscle fatigue, facilitate daily trips and improve life quality. The company's device is lightweight and personalized for the patients which helps gain muscle strength by performing resistive exercises, enabling patients to walk longer, stand up, sit down and take stairs with ease.",14194-54,Newfund Management,Active Investor,Venture Capital,"Apparel and Accessories, Commercial Services, Retail, Software","Paris, France",Anne-Sophie Saint-Martin,Yes,6.0,9.2,Actual,Early Stage VC,Venture Capital,Toulouse,31400.0,France,Completed,Healthcare,Healthcare Devices and Supplies,Therapeutic Devices,HealthTech,Therapeutic Devices*; Other Devices and Supplies,Generating Revenue,Venture Capital-Backed
284336-56T,492676-39,Reev (Therapeutic Devices),"Developer of a robotic orthosis device designed to diminish muscle fatigue, facilitate daily trips and improve life quality. The company's device is lightweight and personalized for the patients which helps gain muscle strength by performing resistive exercises, enabling patients to walk longer, stand up, sit down and take stairs with ease.",484587-55,Raphael Varane,Active Investor,Angel (individual),,,Raphael Varane,No,6.0,9.2,Actual,Early Stage VC,Venture Capital,Toulouse,31400.0,France,Completed,Healthcare,Healthcare Devices and Supplies,Therapeutic Devices,HealthTech,Therapeutic Devices*; Other Devices and Supplies,Generating Revenue,Venture Capital-Backed
275400-28T,685078-48,CROWN,"Developer of an online eAuction platform designed to enable real-time competitive bidding in procurement. The company's platform offers time-efficient, location-neutral bidding, total-value consideration, and commitment guarantees, enabling procurement teams to achieve cost savings while ensuring efficient negotiations.",533496-97,Marcell Vollmer,Active Investor,Angel (individual),,,Marcell Vollmer,No,1.0,2.07,Actual,Early Stage VC,Venture Capital,Paris,75001.0,France,Completed,Information Technology,Software,Business/Productivity Software,SaaS,Business/Productivity Software*; Legal Services (B2B),Generating Revenue,Venture Capital-Backed
275400-28T,685078-48,CROWN,"Developer of an online eAuction platform designed to enable real-time competitive bidding in procurement. The company's platform offers time-efficient, location-neutral bidding, total-value consideration, and commitment guarantees, enabling procurement teams to achieve cost savings while ensuring efficient negotiations.",437788-36,Mario Götze,Active Investor,Angel (individual),,,Mario Götze,No,1.0,2.07,Actual,Early Stage VC,Venture Capital,Paris,75001.0,France,Completed,Information Technology,Software,Business/Productivity Software,SaaS,Business/Productivity Software*; Legal Services (B2B),Generating Revenue,Venture Capital-Backed
278487-82T,553110-58,Neuralk-AI,"Developer of custom artificial intelligence models designed to address specific business challenges. The company specializes in generative AI models, which can be fine-tuned to integrate with existing business systems and data, enabling companies to automate tasks, improve decision-making, and gain new information from their data.",436440-97,Charles Gorintin,Active Investor,Angel (individual),,"Paris, France",Charles Gorintin,No,3.0,4.0,Actual,Early Stage VC,Venture Capital,Paris,75016.0,France,Completed,Information Technology,Software,Business/Productivity Software,"Artificial Intelligence & Machine Learning, SaaS",Business/Productivity Software*; Media and Information Services (B2B); IT Consulting and Outsourcing,Generating Revenue,Venture Capital-Backed
278487-82T,553110-58,Neuralk-AI,"Developer of custom artificial intelligence models designed to address specific business challenges. The company specializes in generative AI models, which can be fine-tuned to integrate with existing business systems and data, enabling companies to automate tasks, improve decision-making, and gain new information from their data.",164228-14,Fly Ventures,Active Investor,Venture Capital,Software,"Berlin, Germany",Marie Brayer,Yes,3.0,4.0,Actual,Early Stage VC,Venture Capital,Paris,75016.0,France,Completed,Information Technology,Software,Business/Productivity Software,"Artificial Intelligence & Machine Learning, SaaS",Business/Productivity Software*; Media and Information Services (B2B); IT Consulting and Outsourcing,Generating Revenue,Venture Capital-Backed
278487-82T,553110-58,Neuralk-AI,"Developer of custom artificial intelligence models designed to address specific business challenges. The company specializes in generative AI models, which can be fine-tuned to integrate with existing business systems and data, enabling companies to automate tasks, improve decision-making, and gain new information from their data.",741957-76,Jean-Louis Quéguiner,Active Investor,Angel (individual),,,Jean-Louis Quéguiner,No,3.0,4.0,Actual,Early Stage VC,Venture Capital,Paris,75016.0,France,Completed,Information Technology,Software,Business/Productivity Software,"Artificial Intelligence & Machine Learning, SaaS",Business/Productivity Software*; Media and Information Services (B2B); IT Consulting and Outsourcing,Generating Revenue,Venture Capital-Backed
278487-82T,553110-58,Neuralk-AI,"Developer of custom artificial intelligence models designed to address specific business challenges. The company specializes in generative AI models, which can be fine-tuned to integrate with existing business systems and data, enabling companies to automate tasks, improve decision-making, and gain new information from their data.",741957-40,Julien Launay,Active Investor,Angel (individual),,,Julien Launay,No,3.0,4.0,Actual,Early Stage VC,Venture Capital,Paris,75016.0,France,Completed,Information Technology,Software,Business/Productivity Software,"Artificial Intelligence & Machine Learning, SaaS",Business/Productivity Software*; Media and Information Services (B2B); IT Consulting and Outsourcing,Generating Revenue,Venture Capital-Backed
278487-82T,553110-58,Neuralk-AI,"Developer of custom artificial intelligence models designed to address specific business challenges. The company specializes in generative AI models, which can be fine-tuned to integrate with existing business systems and data, enabling companies to automate tasks, improve decision-making, and gain new information from their data.",522094-87,Nagi Letaifa,Active Investor,Angel (individual),,,Nagi Letaifa,No,3.0,4.0,Actual,Early Stage VC,Venture Capital,Paris,75016.0,France,Completed,Information Technology,Software,Business/Productivity Software,"Artificial Intelligence & Machine Learning, SaaS",Business/Productivity Software*; Media and Information Services (B2B); IT Consulting and Outsourcing,Generating Revenue,Venture Capital-Backed
278487-82T,553110-58,Neuralk-AI,"Developer of custom artificial intelligence models designed to address specific business challenges. The company specializes in generative AI models, which can be fine-tuned to integrate with existing business systems and data, enabling companies to automate tasks, improve decision-making, and gain new information from their data.",115021-18,Philippe Corrot,Active Investor,Angel (individual),"Commercial Services, Software","Paris, France",Philippe Corrot,No,3.0,4.0,Actual,Early Stage VC,Venture Capital,Paris,75016.0,France,Completed,Information Technology,Software,Business/Productivity Software,"Artificial Intelligence & Machine Learning, SaaS",Business/Productivity Software*; Media and Information Services (B2B); IT Consulting and Outsourcing,Generating Revenue,Venture Capital-Backed
278487-82T,553110-58,Neuralk-AI,"Developer of custom artificial intelligence models designed to address specific business challenges. The company specializes in generative AI models, which can be fine-tuned to integrate with existing business systems and data, enabling companies to automate tasks, improve decision-making, and gain new information from their data.",741154-06,Saturnin Pugnet,Active Investor,Angel (individual),,,Saturnin Pugnet,No,3.0,4.0,Actual,Early Stage VC,Venture Capital,Paris,75016.0,France,Completed,Information Technology,Software,Business/Productivity Software,"Artificial Intelligence & Machine Learning, SaaS",Business/Productivity Software*; Media and Information Services (B2B); IT Consulting and Outsourcing,Generating Revenue,Venture Capital-Backed
278487-82T,553110-58,Neuralk-AI,"Developer of custom artificial intelligence models designed to address specific business challenges. The company specializes in generative AI models, which can be fine-tuned to integrate with existing business systems and data, enabling companies to automate tasks, improve decision-making, and gain new information from their data.",108097-30,Thomas Wolf,Active Investor,Angel (individual),Software,,Thomas Wolf,No,3.0,4.0,Actual,Early Stage VC,Venture Capital,Paris,75016.0,France,Completed,Information Technology,Software,Business/Productivity Software,"Artificial Intelligence & Machine Learning, SaaS",Business/Productivity Software*; Media and Information Services (B2B); IT Consulting and Outsourcing,Generating Revenue,Venture Capital-Backed
278487-82T,553110-58,Neuralk-AI,"Developer of custom artificial intelligence models designed to address specific business challenges. The company specializes in generative AI models, which can be fine-tuned to integrate with existing business systems and data, enabling companies to automate tasks, improve decision-making, and gain new information from their data.",300225-97,Vincent Luciani,Active Investor,Angel (individual),"Commercial Services, Software",,Vincent Luciani,No,3.0,4.0,Actual,Early Stage VC,Venture Capital,Paris,75016.0,France,Completed,Information Technology,Software,Business/Productivity Software,"Artificial Intelligence & Machine Learning, SaaS",Business/Productivity Software*; Media and Information Services (B2B); IT Consulting and Outsourcing,Generating Revenue,Venture Capital-Backed
278487-82T,553110-58,Neuralk-AI,"Developer of custom artificial intelligence models designed to address specific business challenges. The company specializes in generative AI models, which can be fine-tuned to integrate with existing business systems and data, enabling companies to automate tasks, improve decision-making, and gain new information from their data.",504040-69,Xavier Perret,Active Investor,Angel (individual),,,Xavier Perret,No,3.0,4.0,Actual,Early Stage VC,Venture Capital,Paris,75016.0,France,Completed,Information Technology,Software,Business/Productivity Software,"Artificial Intelligence & Machine Learning, SaaS",Business/Productivity Software*; Media and Information Services (B2B); IT Consulting and Outsourcing,Generating Revenue,Venture Capital-Backed
283783-87T,569485-72,Revolte,"Provider of repair and maintenance of electric car services intended to extend the life of vehicles, particularly batteries. The company offers services such as battery repair, electronic component replacement, and general vehicle maintenance for a range of brands, and provides training for automotive professionals, enabling customers to maintain electric cars.",56167-12,Mutuelle Assurance Commerçants et Industriels France,Active Investor,Corporation,Insurance,"Niort, France",Julien Hue,Yes,3.0,4.14,Actual,Later Stage VC,Venture Capital,Paris,44470.0,France,Completed,Consumer Products and Services (B2C),Transportation,Automotive,,Automotive*; Education and Training Services (B2B); Educational and Training Services (B2C); Other Services (B2C Non-Financial),Generating Revenue,Venture Capital-Backed
241128-19T,436433-68,Swan (Financial Software),"Developer of an embedded finance platform designed to offer integration of banking services. The company's platform offers a complete toolkit to offer banking services like issuing wallets, cards, and international bank account numbers with a simple API using a few lines of code, enabling businesses to provide banking services and other organizations to build custom tools for their finance teams.",10139-41,Accel,Active Investor,Venture Capital,"Commercial Products, Commercial Services, Communications and Networking, Computer Hardware, Consumer Durables, Consumer Non-Durables, Healthcare Devices and Supplies, Healthcare Services, Healthcare Technology Systems, Network Management Software, Other Business Products and Services, Other Consumer Products and Services, Other Financial Services, Other Healthcare, Other Information Technology, Other Software, Pharmaceuticals and Biotechnology, Services (Non-Financial)","Palo Alto, CA",Luca Bocchio,No,6.0,81.75,Actual,Later Stage VC,Venture Capital,Montreuil,93100.0,France,Completed,Information Technology,Software,Financial Software,"FinTech, SaaS",Financial Software*; Other Financial Services,Generating Revenue,Venture Capital-Backed
241128-19T,436433-68,Swan (Financial Software),"Developer of an embedded finance platform designed to offer integration of banking services. The company's platform offers a complete toolkit to offer banking services like issuing wallets, cards, and international bank account numbers with a simple API using a few lines of code, enabling businesses to provide banking services and other organizations to build custom tools for their finance teams.",58578-13,Lakestar,Active Investor,Venture Capital,"Commercial Services, Communications and Networking, Financial Services, Financial Software, Healthcare Technology Systems, Media, Other Consumer Products and Services, Restaurants, Hotels and Leisure, Retail, Services (Non-Financial), Transportation","Zurich, Switzerland",Georgia Watson,Yes,6.0,81.75,Actual,Later Stage VC,Venture Capital,Montreuil,93100.0,France,Completed,Information Technology,Software,Financial Software,"FinTech, SaaS",Financial Software*; Other Financial Services,Generating Revenue,Venture Capital-Backed
283673-44T,435715-84,Zaion,"Developer of an AI-powered conversational platform designed to optimize customer relations. The company's platform automates conversations with intelligence and offers voice customer relationship processing using remote advisors to process requests, enabling businesses to build personalized relationships and get instantaneous responses with improved customer satisfaction and reduced operational costs.",516977-38,115K,Active Investor,Venture Capital,"Information Technology, Insurance, Other Financial Services","Paris, France",Benoît Descoqs,Yes,6.0,11.38,Actual,Later Stage VC,Venture Capital,Paris,75008.0,France,Completed,Information Technology,Software,Communication Software,"Artificial Intelligence & Machine Learning, Marketing Tech, SaaS",Communication Software*; Business/Productivity Software,Generating Revenue,Venture Capital-Backed
195535-09T,437273-20,Cryptio,"Developer of bookkeeping software designed for transforming digital asset data. The company's software offers automated accounting services for digital assets that can be plugged directly into existing practices and systems, links existing accounting, and synchronizes unlimited blockchain transactions, wallets, exchanges, and custodians, enabling clients to manage, report, and monitor day-to-day accounting transactions.",226878-31,1kx,Active Investor,Venture Capital,Financial Software,"Road Town, British Virgin Islands",Christopher Heymann,No,6.0,25.0,Actual,Later Stage VC,Venture Capital,Paris,75006.0,France,Completed,Information Technology,Software,Financial Software,"FinTech, SaaS","Financial Software*; Accounting, Audit and Tax Services (B2B); Business/Productivity Software",Generating Revenue,Venture Capital-Backed
195535-09T,437273-20,Cryptio,"Developer of bookkeeping software designed for transforming digital asset data. The company's software offers automated accounting services for digital assets that can be plugged directly into existing practices and systems, links existing accounting, and synchronizes unlimited blockchain transactions, wallets, exchanges, and custodians, enabling clients to manage, report, and monitor day-to-day accounting transactions.",11108-17,Alven Capital Partners,Active Investor,Venture Capital,"Consumer Durables, General Merchandise Stores, Internet Retail, Internet Service Providers, Internet Software, Media, Other Communications and Networking, Other Consumer Products and Services, Other Information Technology, Other Retail, Other Software, Services (Non-Financial)","Paris, France",Bartosz Jakubowski,Yes,6.0,25.0,Actual,Later Stage VC,Venture Capital,Paris,75006.0,France,Completed,Information Technology,Software,Financial Software,"FinTech, SaaS","Financial Software*; Accounting, Audit and Tax Services (B2B); Business/Productivity Software",Generating Revenue,Venture Capital-Backed
195535-09T,437273-20,Cryptio,"Developer of bookkeeping software designed for transforming digital asset data. The company's software offers automated accounting services for digital assets that can be plugged directly into existing practices and systems, links existing accounting, and synchronizes unlimited blockchain transactions, wallets, exchanges, and custodians, enabling clients to manage, report, and monitor day-to-day accounting transactions.",106513-12,Charles Songhurst,Active Investor,Angel (individual),Software,"Seattle, WA",Charles Songhurst,No,6.0,25.0,Actual,Later Stage VC,Venture Capital,Paris,75006.0,France,Completed,Information Technology,Software,Financial Software,"FinTech, SaaS","Financial Software*; Accounting, Audit and Tax Services (B2B); Business/Productivity Software",Generating Revenue,Venture Capital-Backed
195535-09T,437273-20,Cryptio,"Developer of bookkeeping software designed for transforming digital asset data. The company's software offers automated accounting services for digital assets that can be plugged directly into existing practices and systems, links existing accounting, and synchronizes unlimited blockchain transactions, wallets, exchanges, and custodians, enabling clients to manage, report, and monitor day-to-day accounting transactions.",52874-92,Point Nine Capital,Active Investor,Venture Capital,"Business Products and Services (B2B), Software","Berlin, Germany",Louis Coppey,Yes,6.0,25.0,Actual,Later Stage VC,Venture Capital,Paris,75006.0,France,Completed,Information Technology,Software,Financial Software,"FinTech, SaaS","Financial Software*; Accounting, Audit and Tax Services (B2B); Business/Productivity Software",Generating Revenue,Venture Capital-Backed
280655-47T,482501-17,Formance,"Developer of an open-source financial ledger designed to allow clients to build and scale money flows. The company's platform allows it to track funds movements between buyers and sellers, build currency, engage players in meta-game, and reconcile payments between multiple providers, enabling developers to build complex money flows while saving engineering time and reducing risk.",741595-78,Aaron Epstein,Active Investor,Angel (individual),,"Mountain View, CA",Aaron Epstein,No,5.0,21.0,Actual,Early Stage VC,Venture Capital,Paris,75002.0,France,Completed,Information Technology,Software,Financial Software,"FinTech, SaaS",Financial Software*; Database Software,Generating Revenue,Venture Capital-Backed
280655-47T,482501-17,Formance,"Developer of an open-source financial ledger designed to allow clients to build and scale money flows. The company's platform allows it to track funds movements between buyers and sellers, build currency, engage players in meta-game, and reconcile payments between multiple providers, enabling developers to build complex money flows while saving engineering time and reducing risk.",180276-76,Ashish Aggarwal,Active Investor,Angel (individual),Other Financial Services,,Ashish Aggarwal,No,5.0,21.0,Actual,Early Stage VC,Venture Capital,Paris,75002.0,France,Completed,Information Technology,Software,Financial Software,"FinTech, SaaS",Financial Software*; Database Software,Generating Revenue,Venture Capital-Backed
280655-47T,482501-17,Formance,"Developer of an open-source financial ledger designed to allow clients to build and scale money flows. The company's platform allows it to track funds movements between buyers and sellers, build currency, engage players in meta-game, and reconcile payments between multiple providers, enabling developers to build complex money flows while saving engineering time and reducing risk.",434908-99,Dalton Caldwell,Active Investor,Angel (individual),,"Mountain View, CA",Dalton Caldwell,No,5.0,21.0,Actual,Early Stage VC,Venture Capital,Paris,75002.0,France,Completed,Information Technology,Software,Financial Software,"FinTech, SaaS",Financial Software*; Database Software,Generating Revenue,Venture Capital-Backed
280655-47T,482501-17,Formance,"Developer of an open-source financial ledger designed to allow clients to build and scale money flows. The company's platform allows it to track funds movements between buyers and sellers, build currency, engage players in meta-game, and reconcile payments between multiple providers, enabling developers to build complex money flows while saving engineering time and reducing risk.",741594-88,Hélène Falchier,Active Investor,Angel (individual),,,Hélène Falchier,No,5.0,21.0,Actual,Early Stage VC,Venture Capital,Paris,75002.0,France,Completed,Information Technology,Software,Financial Software,"FinTech, SaaS",Financial Software*; Database Software,Generating Revenue,Venture Capital-Backed
280655-47T,482501-17,Formance,"Developer of an open-source financial ledger designed to allow clients to build and scale money flows. The company's platform allows it to track funds movements between buyers and sellers, build currency, engage players in meta-game, and reconcile payments between multiple providers, enabling developers to build complex money flows while saving engineering time and reducing risk.",741597-31,Mathieu Viallard,Active Investor,Angel (individual),,"Lyon, France",Mathieu Viallard,No,5.0,21.0,Actual,Early Stage VC,Venture Capital,Paris,75002.0,France,Completed,Information Technology,Software,Financial Software,"FinTech, SaaS",Financial Software*; Database Software,Generating Revenue,Venture Capital-Backed
280655-47T,482501-17,Formance,"Developer of an open-source financial ledger designed to allow clients to build and scale money flows. The company's platform allows it to track funds movements between buyers and sellers, build currency, engage players in meta-game, and reconcile payments between multiple providers, enabling developers to build complex money flows while saving engineering time and reducing risk.",741597-22,Payton Dobbs,Active Investor,Angel (individual),,,Payton Dobbs,No,5.0,21.0,Actual,Early Stage VC,Venture Capital,Paris,75002.0,France,Completed,Information Technology,Software,Financial Software,"FinTech, SaaS",Financial Software*; Database Software,Generating Revenue,Venture Capital-Backed
280655-47T,482501-17,Formance,"Developer of an open-source financial ledger designed to allow clients to build and scale money flows. The company's platform allows it to track funds movements between buyers and sellers, build currency, engage players in meta-game, and reconcile payments between multiple providers, enabling developers to build complex money flows while saving engineering time and reducing risk.",741596-50,Robert Kniaz,Active Investor,Angel (individual),,"London, United Kingdom",Robert Kniaz,No,5.0,21.0,Actual,Early Stage VC,Venture Capital,Paris,75002.0,France,Completed,Information Technology,Software,Financial Software,"FinTech, SaaS",Financial Software*; Database Software,Generating Revenue,Venture Capital-Backed
280655-47T,482501-17,Formance,"Developer of an open-source financial ledger designed to allow clients to build and scale money flows. The company's platform allows it to track funds movements between buyers and sellers, build currency, engage players in meta-game, and reconcile payments between multiple providers, enabling developers to build complex money flows while saving engineering time and reducing risk.",741595-15,Victoire Lavigne,Active Investor,Angel (individual),,,Victoire Lavigne,No,5.0,21.0,Actual,Early Stage VC,Venture Capital,Paris,75002.0,France,Completed,Information Technology,Software,Financial Software,"FinTech, SaaS",Financial Software*; Database Software,Generating Revenue,Venture Capital-Backed
